Rank,Card Name,Set,Max Price (USD),Avg Price (USD),Min Price (USD),Listings,1Mo Trend %,6Mo Trend %,12Mo Trend %,Sold Count
155,"1999 Base Unlimited","Unknown Set",450,450,450,1,0,0,0,0
156,"Error Misprint Noivern","Unknown Set",450,450,450,1,0,0,0,0
157,"Base Set Theme Deck - "Blackout"","Base Set (Shadowless)",450,450,450,1,0,0,0,0
158,"Neo Revelation Booster Pack [Unlimited Edition]","Neo Revelation",450,450,450,1,0,0,0,0
159,"2002 Expedition Mewtwo","Expedition",449.99,449.99,449.99,1,0,0,0,0
160,"Crown Zenith Tin Case","Crown Zenith",449.99,449.99,449.99,1,0,0,0,0
161,"Base Set French","Base Set",449.95,183.28,39.95,3,0,0,0,0
162,"Moltres (H20)","Skyridge",449,304.73,119.9,4,0,0,0,0
163,"Shining Celebi","Neo Destiny",442.97,246.56,131.44,5,0,0,0,0
164,"Dark Espeon","Neo Destiny",437.5,194.65,85.55,9,0,0,0,0
165,"Vaporeon (H31)","Skyridge",430,375.66,296.99,3,0,0,0,0
166,"Japanese Classic Deck","Unknown Set",427.94,427.94,427.94,1,0,0,0,0
167,"Celebrations Deluxe Pin Collection Case [Zacian LV. X]","Celebrations",425,425,425,1,0,0,0,0
168,"8.0 Near Mint+","Unknown Set",419.99,419.99,419.99,1,0,0,0,0
169,"NEAR MINT CHANSEY","Base Set",419.95,419.95,419.95,1,0,0,0,0
170,"Gym Challenge Booster Pack [1st Edition]","Gym Challenge",412.89,412.89,412.89,1,0,0,0,0
171,"Gengar (10)","Skyridge",409.99,225.54,67.5,9,0,0,0,0
172,"Neo Destiny Theme Deck - "Light"","Neo Destiny",406,406,406,1,0,0,0,0
173,"blastoise expedition","Expedition",400,400,400,1,0,0,0,0
174,"Articuno (H3)","Skyridge",400,288.25,115,4,0,0,0,0
175,"Blastoise (4)","Expedition",400,128.12,40.94,8,0,0,0,0
176,"Ho-oh","Skyridge",400,323.6,221.99,5,0,0,0,0
177,"Celebrations Flying Pikachu","Celebrations",400,107.87,5.99,4,0,0,0,0
178,"GEM MINT Marill","Unknown Set",399.99,399.99,399.99,1,0,0,0,0
179,"2000 DIGLETT Topps","Unknown Set",399.99,399.99,399.99,1,0,0,0,0
180,"Generations Connecting Obstruction","Unknown Set",399.95,399.95,399.95,1,0,0,0,0
181,"BREAKTHROUGH M/MEGA GLALIE","Unknown Set",399.95,399.95,399.95,1,0,0,0,0
182,"1999 Double Suppression","Base Set",399.95,399.95,399.95,1,0,0,0,0
183,"Empty Base Set","Base Set",399.12,399.12,399.12,1,0,0,0,0
184,"Opened 1997 Japanese","Unknown Set",399,399,399,1,0,0,0,0
185,"2001 Gem Mint","Unknown Set",399,399,399,1,0,0,0,0
186,"2002 Nidoqueen Legendary","Legendary Collection",398.95,398.95,398.95,1,0,0,0,0
187,"Base Set Theme Deck - "Zap!" (Revised Base Set Reprint Run)","Base Set",398.95,398.95,398.95,1,0,0,0,0
188,"Evolving Skies Elite Trainer Box [Flareon/Jolteon/Umbreon/Leafeon]","SWSH07: Evolving Skies",397.39,397.39,397.39,1,0,0,0,0
189,"Brilliant Stars Build & Battle Box Display","SWSH09: Brilliant Stars",397.29,397.29,397.29,1,0,0,0,0
190,"Gym Heroes Booster Pack [1st Edition]","Gym Heroes",396.2,396.2,396.2,1,0,0,0,0
191,"MNT 9.5 Evolutions","Unknown Set",392.28,392.28,392.28,1,0,0,0,0
192,"Celebrations Pokemon Center Elite Trainer Box (Exclusive)","Celebrations",391.56,391.56,391.56,1,0,0,0,0
193,"Charizard","Legendary Collection",389.99,243.07,128.11,5,0,0,0,0
194,"Umbreon (32)","Skyridge",387.99,183.85,65,10,0,0,0,0
195,"Evolving Skies Elite Trainer Box [Glaceon/Vaporeon/Sylveon/Espeon]","SWSH07: Evolving Skies",382.67,382.67,382.67,1,0,0,0,0
196,"Dewgong (H6)","Skyridge",379.99,212.51,112.5,3,0,0,0,0
197,"Evolving Skies Sleeved Booster Pack Bundle [Set of 8]","SWSH07: Evolving Skies",378.33,378.33,378.33,1,0,0,0,0
198,"Fusion Strike Pokemon Center Elite Trainer Box (Exclusive)","SWSH08: Fusion Strike",376.43,376.43,376.43,1,0,0,0,0
199,"Snorlax","Skyridge",375,119.77,22.08,9,0,0,0,0
200,"Mewtwo (20)","Expedition",375,160.78,35.2,10,0,0,0,0
201,"Error Misprint Extremely","Unknown Set",374.99,374.99,374.99,1,0,0,0,0
